Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,154.216064,156.128113,153.919693,154.933075,114.906487,5779673
2015-01-05,154.177826,154.177826,152.189301,152.495224,113.098427,5104898
2015-01-06,152.648178,152.925430,148.346085,149.206497,110.659355,6429448
2015-01-07,150.286804,150.286804,147.256210,148.231354,109.936119,4918083
2015-01-08,149.369019,152.045883,148.709366,151.453156,112.325584,4431693
2015-01-09,151.453156,153.288712,150.334610,152.112808,112.814873,4694762
2015-01-12,152.007645,152.246658,148.910141,149.560226,110.921738,4380230
2015-01-13,150.344162,152.934998,148.833649,149.913956,111.184036,4578865
2015-01-14,148.049713,149.608032,146.978973,148.948380,110.467934,4906054
2015-01-15,149.799240,150.066925,147.380493,147.772461,109.595825,4443826
2015-01-16,147.055450,150.697891,147.055450,150.229446,111.418030,6020776
2015-01-20,149.808792,150.411087,147.256210,150.047806,111.283340,8778869
2015-01-21,146.300186,147.705551,144.426392,145.401535,107.837402,12444367
2015-01-22,145.258133,148.871887,145.086044,148.556412,110.177231,6401625
2015-01-23,148.212234,150.669220,148.078400,149.015289,110.517563,5057201
2015-01-26,151.300186,152.447418,148.919693,149.483749,110.865005,8250953
2015-01-27,148.126190,148.269592,145.879547,146.912048,108.957680,5919942
2015-01-28,147.227539,147.734222,144.885284,144.885284,107.454521,4702711
2015-01-29,144.722748,148.738052,142.944550,148.642441,110.241051,8703557
2015-01-30,147.141495,148.412994,146.309753,146.567871,108.702415,6865526
2015-02-02,147.227539,147.858505,144.847031,147.858505,109.659622,4928961
2015-02-03,147.944550,151.625244,147.944550,151.500961,112.361084,5794212
2015-02-04,150.296371,151.730408,149.808792,150.057358,111.290405,3847711
2015-02-05,150.372849,151.615677,150.238998,150.965576,111.964005,5495266
2015-02-06,150.420654,151.128113,149.359467,149.827911,111.899704,3406299
2015-02-09,149.139572,150.573608,148.565964,148.900574,111.207176,3198354
2015-02-10,149.847031,151.587006,148.260040,151.587006,113.213531,4644868
2015-02-11,150.822174,152.093689,150.258133,151.242828,112.956467,3793528
2015-02-12,151.739960,152.485657,151.137665,151.548752,113.184959,3486423
2015-02-13,151.797318,153.728485,151.663483,153.346085,114.527298,3877417
2015-02-17,152.724670,154.311661,152.705551,153.881454,114.927139,3027647
2015-02-18,154.741867,155.325043,153.575531,155.057358,115.805344,4558886
2015-02-19,154.923523,157.256210,154.340347,156.682602,117.019188,3665602
2015-02-20,156.443588,157.112808,154.961761,156.453156,116.847839,3507238
2015-02-23,157.007645,157.170166,155.353729,155.745697,116.319443,2839262
2015-02-24,155.344162,157.734222,154.407272,157.581268,117.690376,4917874
2015-02-25,157.686417,157.705551,155.430206,155.650101,116.248062,4188812
2015-02-26,156.539200,156.921600,152.743790,153.795410,114.862923,7437897
2015-02-27,153.795410,155.152969,153.116638,154.818359,115.626839,4612860
2015-03-02,154.818359,154.818359,152.782028,153.422562,114.584396,6190123
2015-03-03,153.221802,154.636703,152.963669,153.948380,114.977135,3383182
2015-03-04,153.479919,153.499039,151.739960,152.409180,113.827553,3800746
2015-03-05,152.829834,154.397705,152.676865,154.091782,115.084229,3966118
2015-03-06,153.145309,154.340347,151.108994,151.529633,113.170662,4749049
2015-03-09,151.242828,154.063095,151.242828,153.699814,114.791466,5432819
2015-03-10,152.581268,153.183563,150.869980,150.869980,112.678001,4812646
2015-03-11,151.596558,152.141495,149.082214,149.904404,111.956863,5972555
2015-03-12,149.397705,151.739960,149.397705,151.032501,112.799385,4777396
2015-03-13,150.535370,150.592728,146.653915,147.495224,110.157555,6343049
2015-03-16,148.231354,150.181641,147.992355,150.172089,112.156792,3922082
2015-03-17,149.330780,150.372849,148.537292,150.057358,112.071083,3464038
2015-03-18,149.952194,153.632889,148.948380,152.782028,114.106049,6002785
2015-03-19,152.676865,153.843216,151.826004,152.782028,114.106049,4057016
2015-03-20,153.871887,155.831741,153.298279,155.717010,116.298042,9420694
2015-03-23,155.611862,158.078400,155.573608,157.390060,117.547554,6202885
2015-03-24,157.543015,157.638626,155.736145,155.831741,116.383743,4546021
2015-03-25,155.908218,155.908218,152.198853,152.198853,113.670471,5678629
2015-03-26,152.265778,154.158707,151.921600,153.527725,114.662941,4598216
2015-03-27,153.718933,153.824097,152.227539,153.346085,114.527298,3637883
2015-03-30,154.216064,156.405350,154.158707,155.516251,116.148117,4328348
2015-03-31,153.996170,155.191208,153.346085,153.441681,114.598686,4451148
2015-04-01,153.183563,153.556412,151.424469,152.179733,113.656197,3871037
2015-04-02,152.504776,155.391968,151.902481,153.393875,114.563004,4886494
2015-04-06,152.667297,155.640533,151.720840,154.913956,115.698273,3625122
2015-04-07,154.560226,156.634796,154.512421,154.942642,115.719704,3292808
2015-04-08,154.608032,156.357559,153.929260,154.732315,115.562592,2640418
2015-04-09,154.588913,155.325043,153.652008,155.200760,115.912476,2367621
2015-04-10,155.200760,156.147232,154.158707,155.697891,116.283737,2631422
2015-04-13,155.229446,156.787766,155.219879,155.238998,115.941040,4046869
2015-04-14,155.277252,155.583176,153.718933,155.162521,115.883934,2844388
2015-04-15,155.478012,157.705551,155.353729,156.912048,117.190590,3659745
2015-04-16,156.128113,156.768646,155.391968,155.956024,116.476593,3281197
2015-04-17,154.636703,154.741867,152.992355,153.604202,114.720100,4512862
2015-04-20,154.971313,159.311661,154.780121,158.852768,118.639999,10051223
2015-04-21,158.766724,160.019119,156.835571,157.036331,117.283394,10129046
2015-04-22,157.160614,158.699814,155.726578,158.087952,118.068802,4209941
2015-04-23,157.963669,164.349899,157.877625,162.753342,121.553177,8614438
2015-04-24,162.743790,163.336517,161.319305,162.313583,121.224724,4067266
2015-04-27,163.374756,163.948380,162.810699,163.221802,121.902992,3314356
2015-04-28,163.317398,167.007645,162.543015,166.271515,124.180717,6084268
2015-04-29,165.774384,167.428299,165.200760,166.730408,124.523483,4726246
2015-04-30,166.128113,166.615677,162.810699,163.757172,122.302872,5295793
2015-05-01,165.583176,166.347992,164.837479,166.032501,124.002190,3464457
2015-05-04,166.797318,168.546844,166.061188,166.319305,124.216415,4213288
2015-05-05,165.879547,166.567871,164.397705,165.468445,123.580956,3758906
2015-05-06,165.296371,166.395798,161.434036,162.571701,122.336365,3778780
2015-05-07,162.170166,164.416824,161.606125,163.470367,123.012627,2585712
2015-05-08,165.334610,165.707458,164.665390,165.086044,124.228424,3234860
2015-05-11,165.057358,165.382416,163.346085,163.594650,123.106140,2783406
2015-05-12,163.049713,163.948380,161.414917,163.049713,122.696068,3098670
2015-05-13,163.709366,165.143402,163.240921,164.703629,123.940628,2570545
2015-05-14,165.869980,166.730408,165.602295,166.395798,125.213989,2551299
2015-05-15,166.261948,166.739960,165.009567,165.640533,124.645691,3050764
2015-05-18,165.812622,165.860428,164.722748,165.449326,124.501801,2061248
2015-05-19,165.363297,166.108994,164.369019,165.850861,124.803940,2639058
2015-05-20,165.707458,166.768646,164.875717,166.118546,125.005417,2406114
2015-05-21,165.697891,166.481842,165.430206,165.717010,124.703209,2401198
2015-05-22,165.430206,165.764816,164.617584,164.646271,123.897484,2980786
2015-05-26,164.541107,164.550674,161.692154,162.648178,122.393913,4031493
2015-05-27,163.632889,164.894836,162.992355,164.435944,123.739265,2891562
2015-05-28,163.910141,164.282990,163.154877,164.158707,123.530609,1811044
2015-05-29,163.814529,163.814529,162.189301,162.189301,122.048622,4280232
2015-06-01,162.724670,163.518158,161.596558,162.695984,122.429886,3122833
2015-06-02,162.198853,162.954117,161.022949,162.189301,122.048622,2689684
2015-06-03,163.001907,164.015289,162.170166,162.447418,122.242828,2229026
2015-06-04,162.074570,163.097519,160.544937,160.975143,121.134964,3220948
2015-06-05,160.850861,161.481842,159.847031,160.038239,120.429893,3243123
2015-06-08,159.818359,159.923523,157.762909,158.068832,118.947922,3931600
2015-06-09,158.068832,158.718933,156.185471,158.393875,119.192543,3552111
2015-06-10,159.168259,161.940720,158.757172,161.491394,121.523422,4895803
2015-06-11,161.816437,162.944550,161.128113,161.357559,121.422729,3623344
